dateTime_UTC,rainfall_mm_per_15min,newnham_park_level_m,carnwood_level_m
2025-11-11 00:00:00+00:00,0.0,0.503,0.595
2025-11-11 00:15:00+00:00,0.0,0.505,0.593
2025-11-11 00:30:00+00:00,0.1,0.504,0.591
2025-11-11 00:45:00+00:00,0.0,0.502,0.589
2025-11-11 01:00:00+00:00,0.0,0.503,0.589
2025-11-11 01:15:00+00:00,0.0,0.503,0.587
2025-11-11 01:30:00+00:00,0.0,0.499,0.587
2025-11-11 01:45:00+00:00,0.0,0.504,0.585
2025-11-11 02:00:00+00:00,0.0,0.504,0.583
2025-11-11 02:15:00+00:00,0.1,0.505,0.583
2025-11-11 02:30:00+00:00,0.0,0.501,0.581
2025-11-11 02:45:00+00:00,0.0,0.504,0.581
2025-11-11 03:00:00+00:00,0.0,0.506,0.579
2025-11-11 03:15:00+00:00,0.0,0.499,0.579
2025-11-11 03:30:00+00:00,0.0,0.503,0.577
2025-11-11 03:45:00+00:00,0.1,0.501,0.577
2025-11-11 04:00:00+00:00,0.0,0.5,0.575
2025-11-11 04:15:00+00:00,0.0,0.502,0.575
2025-11-11 04:30:00+00:00,0.0,0.501,0.573
2025-11-11 04:45:00+00:00,0.0,0.499,0.573
2025-11-11 05:00:00+00:00,0.0,0.498,0.573
2025-11-11 05:15:00+00:00,0.1,0.503,0.571
2025-11-11 05:30:00+00:00,0.1,0.5,0.571
2025-11-11 05:45:00+00:00,0.2,0.503,0.569
2025-11-11 06:00:00+00:00,0.1,0.5,0.569
2025-11-11 06:15:00+00:00,0.0,0.499,0.569
2025-11-11 06:30:00+00:00,0.0,0.501,0.567
2025-11-11 06:45:00+00:00,0.0,0.504,0.567
2025-11-11 07:00:00+00:00,0.0,0.502,0.567
2025-11-11 07:15:00+00:00,0.0,0.501,0.565
2025-11-11 07:30:00+00:00,0.0,0.499,0.565
2025-11-11 07:45:00+00:00,0.0,0.503,0.565
2025-11-11 08:00:00+00:00,0.0,0.502,0.565
2025-11-11 08:15:00+00:00,0.0,0.497,0.563
2025-11-11 08:30:00+00:00,0.0,0.497,0.563
2025-11-11 08:45:00+00:00,0.0,0.501,0.563
2025-11-11 09:00:00+00:00,0.0,0.493,0.561
2025-11-11 09:15:00+00:00,0.0,0.499,0.561
2025-11-11 09:30:00+00:00,0.0,0.499,0.561
2025-11-11 09:45:00+00:00,0.2,0.565,0.561
2025-11-11 10:00:00+00:00,0.1,0.572,0.559
2025-11-11 10:15:00+00:00,0.0,0.564,0.559
2025-11-11 10:30:00+00:00,0.0,0.555,0.559
2025-11-11 10:45:00+00:00,0.0,0.557,0.557
2025-11-11 11:00:00+00:00,0.0,0.553,0.557
2025-11-11 11:15:00+00:00,0.0,0.554,0.557
2025-11-11 11:30:00+00:00,0.0,0.534,0.557
2025-11-11 11:45:00+00:00,0.0,0.531,0.557
2025-11-11 12:00:00+00:00,0.0,0.538,0.557
2025-11-11 12:15:00+00:00,0.0,0.53,0.557
2025-11-11 12:30:00+00:00,0.0,0.531,0.557
2025-11-11 12:45:00+00:00,0.0,0.525,0.557
2025-11-11 13:00:00+00:00,0.0,0.516,0.557
2025-11-11 13:15:00+00:00,0.0,0.517,0.557
2025-11-11 13:30:00+00:00,0.0,0.516,0.557
2025-11-11 13:45:00+00:00,0.0,0.516,0.557
2025-11-11 14:00:00+00:00,0.0,0.499,0.557
2025-11-11 14:15:00+00:00,0.0,0.492,0.557
2025-11-11 14:30:00+00:00,0.0,0.49,0.557
2025-11-11 14:45:00+00:00,0.0,0.487,0.557
2025-11-11 15:00:00+00:00,0.0,0.493,0.557
2025-11-11 15:15:00+00:00,0.0,0.49,0.557
2025-11-11 15:30:00+00:00,0.0,0.493,0.557
2025-11-11 15:45:00+00:00,0.0,0.493,0.557
2025-11-11 16:00:00+00:00,0.4,0.489,0.557
2025-11-11 16:15:00+00:00,0.4,0.489,0.557
2025-11-11 16:30:00+00:00,1.7,0.493,0.557
2025-11-11 16:45:00+00:00,0.6,0.495,0.561
2025-11-11 17:00:00+00:00,0.7,0.497,0.565
2025-11-11 17:15:00+00:00,1.2,0.499,0.569
2025-11-11 17:30:00+00:00,1.1,0.502,0.573
2025-11-11 17:45:00+00:00,0.6,0.506,0.579
2025-11-11 18:00:00+00:00,0.5,0.508,0.583
2025-11-11 18:15:00+00:00,0.3,0.513,0.589
2025-11-11 18:30:00+00:00,1.0,0.519,0.595
2025-11-11 18:45:00+00:00,0.9,0.525,0.609
2025-11-11 19:00:00+00:00,0.4,0.53,0.625
2025-11-11 19:15:00+00:00,0.1,0.528,0.635
2025-11-11 19:30:00+00:00,0.0,0.538,0.645
2025-11-11 19:45:00+00:00,0.1,0.543,0.659
2025-11-11 20:00:00+00:00,0.0,0.543,0.679
2025-11-11 20:15:00+00:00,0.0,0.536,0.705
2025-11-11 20:30:00+00:00,0.0,0.54,0.731
2025-11-11 20:45:00+00:00,0.0,0.534,0.755
2025-11-11 21:00:00+00:00,0.0,0.533,0.781
2025-11-11 21:15:00+00:00,0.0,0.535,0.803
2025-11-11 21:30:00+00:00,0.0,0.529,0.823
2025-11-11 21:45:00+00:00,0.0,0.53,0.835
2025-11-11 22:00:00+00:00,0.0,0.528,0.843
2025-11-11 22:15:00+00:00,0.0,0.527,0.845
2025-11-11 22:30:00+00:00,0.0,0.526,0.845
2025-11-11 22:45:00+00:00,0.0,0.522,0.839
2025-11-11 23:00:00+00:00,0.0,0.518,0.833
2025-11-11 23:15:00+00:00,0.0,0.514,0.825
2025-11-11 23:30:00+00:00,0.0,0.517,0.815
2025-11-11 23:45:00+00:00,0.0,0.512,0.807
2025-11-12 00:00:00+00:00,0.0,0.516,0.797
2025-11-12 00:15:00+00:00,0.0,0.512,0.789
2025-11-12 00:30:00+00:00,0.0,0.514,0.781
2025-11-12 00:45:00+00:00,0.0,0.509,0.773
2025-11-12 01:00:00+00:00,0.0,0.51,0.767
2025-11-12 01:15:00+00:00,0.0,0.51,0.761
2025-11-12 01:30:00+00:00,0.0,0.51,0.755
2025-11-12 01:45:00+00:00,0.0,0.51,0.749
2025-11-12 02:00:00+00:00,0.0,0.51,0.743
2025-11-12 02:15:00+00:00,0.1,0.507,0.737
2025-11-12 02:30:00+00:00,0.9,0.51,0.733
2025-11-12 02:45:00+00:00,0.8,0.51,0.731
2025-11-12 03:00:00+00:00,1.1,0.51,0.729
2025-11-12 03:15:00+00:00,1.0,0.516,0.729
2025-11-12 03:30:00+00:00,0.9,0.512,0.729
2025-11-12 03:45:00+00:00,0.9,0.517,0.729
2025-11-12 04:00:00+00:00,1.1,0.529,0.733
2025-11-12 04:15:00+00:00,1.1,0.529,0.741
2025-11-12 04:30:00+00:00,2.7,0.541,0.761
2025-11-12 04:45:00+00:00,1.1,0.557,0.777
2025-11-12 05:00:00+00:00,0.1,0.564,0.795
2025-11-12 05:15:00+00:00,0.6,0.587,0.821
2025-11-12 05:30:00+00:00,0.0,0.612,0.853
2025-11-12 05:45:00+00:00,0.1,0.616,0.893
2025-11-12 06:00:00+00:00,0.0,0.613,0.931
2025-11-12 06:15:00+00:00,0.0,0.609,0.977
2025-11-12 06:30:00+00:00,0.0,0.6,1.023
2025-11-12 06:45:00+00:00,0.0,0.595,1.063
2025-11-12 07:00:00+00:00,0.0,0.586,1.089
2025-11-12 07:15:00+00:00,0.0,0.582,1.103
2025-11-12 07:30:00+00:00,0.0,0.58,1.099
2025-11-12 07:45:00+00:00,0.0,0.578,1.089
